source_product,recommended_product,support,confidence,lift,association_score
Printer Pape A4 Paperline,Ink Cartridge Standard Canon,0.00874,0.23724212812160694,3.7550194384553173,1.0
Printer Pape A4 ITC,Ink Cartridge Standard Canon,0.00794,0.21611322808927597,3.420595569630832,0.8587832095298278
Printer Pape A4 ITC,Printer Inkjet HP,0.00774,0.21066956995100708,3.345023339965181,0.8239412607396215
Ink Cartridge Standard HP,Printer Laser HP,0.00954,0.2067620286085826,3.265351051935922,0.795230532294537
Printer Inkjet Canon,Ink Cartridge Standard Canon,0.00826,0.2059850374064838,3.2602886579057264,0.7910905904486054
Ink Cartridge Standard Canon,Printer Laser HP,0.0129,0.20417853751187084,3.224550497660626,0.7779767100744623
Printer Laser Canon,Ink Cartridge Standard Canon,0.00654,0.20386533665835416,3.2267384719587553,0.7769233912120124
Printer Laser HP,Ink Cartridge Standard Canon,0.0129,0.20372710044219836,3.2245504976606263,0.7759994777691737
Printer Inkjet HP,Ink Cartridge Standard Canon,0.0128,0.2032391235312798,3.216826899830323,0.7727380428114606
Ink Cartridge Standard Canon,Printer Inkjet HP,0.0128,0.2025957581513137,3.2168268998303224,0.7699201908918206
Printer Pape A4 ITC,Printer Laser HP,0.00736,0.20032661948829614,3.1637179325378417,0.7522517099497668
Ink Cartridge Standard HP,Printer Inkjet HP,0.00908,0.19679237104464672,3.124680391309094,0.7310903063192091
Printer Pape A4 Paperline,Printer Inkjet HP,0.0072,0.19543973941368079,3.103203229813922,0.7220399829245605
Printer Pape A4 Paperline,Printer Laser HP,0.00682,0.18512486427795874,2.9236396758995378,0.6507269235217834
Printer Pape A4 ITC,Ink Cartridge Standard HP,0.00602,0.1638541099618944,3.551237753833862,0.6489103163678775
Ink Cartridge Standard Canon,Printer Pape A4 Paperline,0.00874,0.13833491611269388,3.7550194384553173,0.566800008355687
Printer Laser HP,Ink Cartridge Standard HP,0.00954,0.15066329753632343,3.2653510519359217,0.5495258021928611
Printer Pape A4 Paperline,Ink Cartridge Standard HP,0.0055,0.1492942453854506,3.235679353824244,0.5392108512630006
Printer Inkjet Canon,Ink Cartridge Standard HP,0.00588,0.1466334164588529,3.17801075983643,0.5191631709806167
Ink Cartridge Standard HP,Printer Pape A4 ITC,0.00602,0.1304724750758561,3.551237753833862,0.5027033446012268
Printer Inkjet HP,Ink Cartridge Standard HP,0.00908,0.14417275325500162,3.1246803913090946,0.500623614115338
Ink Cartridge Standard Canon,Printer Pape A4 ITC,0.00794,0.12567268122823677,3.420595569630832,0.4626660473053112
Ink Cartridge Standard Canon,Printer Inkjet Canon,0.00826,0.13073757518201962,3.2602886579057264,0.4615170503112478
Printer Inkjet HP,Printer Pape A4 ITC,0.00774,0.12289615751032075,3.3450233399651808,0.4395057806204198
Ink Cartridge Standard HP,Printer Inkjet Canon,0.00588,0.12743823146944083,3.1780107598364298,0.4350908995240619
Ink Cartridge Standard HP,Printer Pape A4 Paperline,0.0055,0.11920242739488514,3.235679353824244,0.40741282524139544
Printer Laser HP,Printer Pape A4 ITC,0.00736,0.1162349968414403,3.1637179325378413,0.3839419629851884
Printer Inkjet HP,Printer Pape A4 Paperline,0.0072,0.11432200698634488,3.1032032298139223,0.3667554662953701
Ink Cartridge Standard Canon,Printer Laser Canon,0.00654,0.10351377018043685,3.226738471958755,0.3373973255515023
