recommendation_type,customer_id,customer_tier,customer_total_spend,customer_invoice_count,customer_avg_invoice_value,current_product_id,candidate_product_id,candidate_price,candidate_margin,candidate_normalized_margin,support,confidence,lift,association_score,feature_improvement,price_difference,price_increase_percentage,customer_category_affinity,customer_brand_affinity,candidate_popularity,invoice_item_count,invoice_total,target
cross_sell,8057,Silver,0.0,0,0.0,107,148,2903.62,2297.69,0.03615593904688934,0.0,0.0,0.0,0.0180191644297828,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,134,148,2903.62,2297.69,0.03615593904688934,0.0,0.0,0.0,0.2350413298951094,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,134,160,1217.64,863.8600000000001,0.01356962199191459,0.0,0.0,0.0,0.0437698487586955,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,188,148,2903.62,2297.69,0.03615593904688934,0.0,0.0,0.0,0.1552341170523908,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,320,295,59174.4,42715.990000000005,0.6728426722182457,0.0,0.0,0.0,0.7522517099497668,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,320,305,1852.07,1551.67,0.02440430583419867,0.0,0.0,0.0,0.8587832095298278,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,320,291,18911.62,11834.329999999998,0.18638126190884252,0.0,0.0,0.0,0.8239412607396215,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,320,309,1855.64,1168.5500000000002,0.018369232087588595,0.0,0.0,0.0,0.6489103163678775,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
cross_sell,8057,Silver,0.0,0,0.0,51,213,5625.02,3832.2700000000004,0.06032931415148553,0.0,0.0,0.0,0.1911824674383759,0.0,0.0,0.0,0.0,0.0,0.0,5,97241.25,0
upsell,8057,Silver,0.0,0,0.0,100,107,12036.45,0.10355305672893711,0.10355305672893711,0.0,0.0,0.0,0.0,0.5,261.2900000000009,0.022189932026401415,0.0,0.0,0.0,5,97241.25,1
upsell,8057,Silver,0.0,0,0.0,58,54,45784.29,0.37236713764353624,0.37236713764353624,0.0,0.0,0.0,0.0,0.7,6165.139999999999,0.15561010269023942,0.0,0.0,0.0,5,97241.25,0
